File generated for type: KFZ_
Time of generation:2025-08-01 19:24:22
day,hour,count,n_counts
0,0,0.0,
0,1,0.0,
0,2,0.0,
0,3,0.0,
0,4,0.0,
0,5,0.0,
0,6,0.0,
0,7,32996.98,0.4171363672794582
0,8,131987.92,0.4171363672794582
0,9,349626.86,0.2484929484810635
0,10,540938.78,0.251595292352817
0,11,748749.1900000001,0.25531631980374064
0,12,953224.6200000001,0.24762657023909654
0,13,1029047.1100000001,0.2384466768926489
0,14,1060376.6,0.23765468290464004
0,15,1124703.07,0.2399545218830449
0,16,1157700.05,0.24289513660154807
0,17,1142869.05,0.24527210408377526
0,18,997717.6200000001,0.23929421689408828
0,19,854233.68,0.23649007768616997
0,20,710749.74,0.23266284095381043
0,21,550767.31,0.22407022738672466
0,22,346291.88,0.22468955843463115
0,23,16498.49,0.4171363672794582
1,0,0.0,
1,1,0.0,
1,2,0.0,
1,3,0.0,
1,4,0.0,
1,5,0.0,
1,6,786748.64,0.27994003626022324
1,7,1655813.32,0.2536008783617384
1,8,1904605.34,0.22468955843463115
1,9,1602806.46,0.22091280045945927
1,10,1396663.54,0.21803529648830183
1,11,1315838.58,0.2142776485760632
1,12,1301007.58,0.21560731741317846
1,13,1299340.09,0.21296260443042728
1,14,1409827.05,0.21427764857606324
1,15,1569809.48,0.2187498423625527
1,16,1917768.85,0.22169783824392256
1,17,2552519.6900000004,0.2136062126112355
1,18,2484858.24,0.20954148961030994
1,19,1701620.9900000002,0.20743114267297982
1,20,801403.23,0.22091280045945927
1,21,425449.35000000003,0.22712765135369115
1,22,206142.92,0.24260547480798966
1,23,0.0,
2,0,0.0,
2,1,0.0,
2,2,0.0,
2,3,0.0,
2,4,0.0,
2,5,16498.49,0.4171363672794582
2,6,788416.13,0.2873956968434468
2,7,1721807.28,0.2574697092908017
2,8,2099252.24,0.2310566982605505
2,9,1970599.3,0.22821557051718291
2,10,1794118.3800000001,0.22430890279878507
2,11,1696794.9300000002,0.22053453574715448
2,12,1676961.46,0.2153077891214879
2,13,1673626.48,0.21123957820667474
2,14,1782445.9500000002,0.2104877270154618
2,15,1977092.85,0.21781336372280136
2,16,2391046.18,0.22326806292124912
2,17,3139618.96,0.2187498423625527
2,18,3164278.49,0.21427764857606324
2,19,2300216.2800000003,0.21205859249730102
2,20,1164193.6,0.22352043900408178
2,21,644755.78,0.22258736771895457
2,22,361122.88,0.2191466471400826
2,23,32996.98,0.4171363672794582
3,0,0.0,
3,1,0.0,
3,2,0.0,
3,3,0.0,
3,4,0.0,
3,5,16498.49,0.4171363672794582
3,6,788416.13,0.2873956968434468
3,7,1705308.79,0.25651976490395356
3,8,2066255.26,0.2294223417404191
3,9,1904605.34,0.22468955843463115
3,10,1761121.4000000001,0.22238281113762826
3,11,1726456.9300000002,0.21833637862532906
3,12,1723121.9500000002,0.2142776485760632
3,13,1734617.9700000002,0.20943399405009092
3,14,1859935.9300000002,0.2097534571839421
3,15,2038084.34,0.21597815190149966
3,16,2466868.67,0.22073918406966178
3,17,3197275.47,0.2153585144571688
3,18,3159276.0200000005,0.2110615261331113
3,19,2293546.3200000003,0.20633759636760754
3,20,1220182.62,0.21149622202429066
3,21,733741.78,0.207471578167777
3,22,451776.37,0.20343860567972746
3,23,16498.49,0.4171363672794582
4,0,0.0,
4,1,0.0,
4,2,0.0,
4,3,0.0,
4,4,0.0,
4,5,16498.49,0.4171363672794582
4,6,758754.13,0.2999032650732448
4,7,1644317.3,0.2614867330711623
4,8,1973934.28,0.23221109230313794
4,9,1813951.85,0.22950474111624014
4,10,1714960.9100000001,0.22369671165421387
4,11,1693459.9500000002,0.21632752017669096
4,12,1721454.46,0.2122986679255963
4,13,1751116.46,0.21042114130830317
4,14,1876434.42,0.21067436766531034
4,15,2085912.32,0.21677916038072476
4,16,2486702.14,0.2244147914429594
4,17,3172615.9400000004,0.21983724927223783
4,18,3090123.49,0.2170960701344147
4,19,2209562.79,0.21505857521533991
4,20,1180692.09,0.22497963550993133
4,21,722245.76,0.2191466471400826
4,22,455111.35000000003,0.2181230683307989
4,23,49495.47,0.4171363672794582
5,0,0.0,
5,1,0.0,
5,2,0.0,
5,3,0.0,
5,4,0.0,
5,5,0.0,
5,6,724089.66,0.28756552336167457
5,7,1515664.36,0.2596332629299583
5,8,1657304.4000000001,0.23105669826055047
5,9,1467659.9700000002,0.23067112084312633
5,10,1495654.48,0.22514788332239236
5,11,1587975.46,0.22213415396366767
5,12,1475997.42,0.24489615689596378
5,13,1807281.8900000001,0.2211502212786581
5,14,2132072.81,0.21590261988588375
5,15,2409212.16,0.22554465585832026
5,16,2798505.96,0.23518002746110278
5,17,3497583.2700000005,0.2267622218817272
5,18,3375423.88,0.2189619260948879
5,19,2471694.7300000004,0.21153102555410722
5,20,1490652.0100000002,0.2177944810124503
5,21,1076698.6800000002,0.20658058373286367
5,22,901885.25,0.20004070081931194
5,23,298463.9,0.22019707402740618
6,0,16498.49,0.4171363672794582
6,1,0.0,
6,2,0.0,
6,3,0.0,
6,4,0.0,
6,5,0.0,
6,6,0.0,
6,7,148486.41,0.4171363672794582
6,8,404124.80000000005,0.30515512119449767
6,9,720754.68,0.27175613249031955
6,10,1081877.56,0.251595292352817
6,11,1411670.9500000002,0.24331936744728888
6,12,1728300.83,0.24241183130860644
6,13,1846948.83,0.231364013969347
6,14,1904605.34,0.22468955843463115
6,15,1996926.32,0.22231684538564953
6,16,2092582.2799999998,0.2237130704173545
6,17,2095917.26,0.22733143298301006
6,18,1790783.4000000001,0.22019707402740618
6,19,1345500.58,0.21175222684164155
6,20,1032205.6799999999,0.21099744521561814
6,21,1007369.74,0.19417272200558097
6,22,971037.78,0.18520237286772323
6,23,354452.92000000004,0.18496885681348163
