File generated for type: PKW_
Time of generation:2025-08-04 14:57:15
day,hour,count,n_counts
0,0,91569.8695896264,1.8713721464880892
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,35479.66113584883,0.7250818409376131
0,8,141955.16506075868,2.9010737171009096
0,9,391117.7696623607,7.99309754860242
0,10,673011.7160896178,13.754037058199977
0,11,1003114.002171963,20.500188673736684
0,12,1329524.515084675,27.17089318520122
0,13,1426247.8485860883,29.147584350550748
0,14,1490605.7758458282,30.46283829837583
0,15,1590406.8437240531,32.50242773378805
0,16,1580156.3508411336,32.292943031507306
0,17,1548982.5016677396,31.655857128651338
0,18,1423520.8293305805,29.091853487325057
0,19,1208170.8316604763,24.690842661469713
0,20,1038587.5085265031,21.22514473218317
0,21,866745.1228603905,17.71327936027859
0,22,631721.8769504881,12.91021522854986
0,23,63524.76536273761,1.2982269937128512
1,0,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,3,0.0,0.0
1,4,0.0,0.0
1,5,146.08206945344764,0.0029854134018280827
1,6,952835.3573528603,19.472666674422886
1,7,2374918.0516749863,48.53512964486971
1,8,2855634.1630210984,58.35930811288288
1,9,2180572.0561907575,44.56336814339994
1,10,1730423.3600858923,35.363882161342715
1,11,1643533.5733137236,33.588154757684315
1,12,1718880.8142639718,35.12799235558557
1,13,1732369.613645486,35.40365686799841
1,14,1851302.9320054143,37.834243481975456
1,15,2053814.6896041892,41.9728849827779
1,16,2519394.7973397556,51.48773576808431
1,17,3537030.7643294423,72.28470329051827
1,18,3662590.419066422,74.85070935398069
1,19,2408841.67023794,49.22841134518557
1,20,1075243.5062679546,21.9742668340547
1,21,579557.0548228541,11.844146273841872
1,22,313250.39818746777,6.401757179205807
1,23,0.0,0.0
2,0,0.0,0.0
2,1,0.0,0.0
2,2,0.0,0.0
2,3,0.0,0.0
2,4,0.0,0.0
2,5,17831.13186133282,0.36440680384494906
2,6,969869.8478345545,19.820792877506072
2,7,2506923.953673101,51.23287475773699
2,8,3186986.55715412,65.13100762312142
2,9,2758952.7744080094,56.38347415630791
2,10,2294971.3738026815,46.90129542794914
2,11,2144556.8216677755,43.82734103057789
2,12,2184007.4553284994,44.63357584695189
2,13,2180498.2847456834,44.56186050963202
2,14,2312920.4024871257,47.26811163602191
2,15,2537423.0218402357,51.85617046534913
2,16,3089169.3160030586,63.13196076025309
2,17,4305355.1337480135,87.98660207929653
2,18,4575882.982158857,93.51525776739808
2,19,3235244.446558207,66.11723235494458
2,20,1572070.5042116414,32.12769622891799
2,21,845973.2730103306,17.28877442852931
2,22,510461.87939465477,10.43207932067796
2,23,35589.22268793891,0.727320900988984
3,0,0.0,0.0
3,1,0.0,0.0
3,2,0.0,0.0
3,3,0.0,0.0
3,4,0.0,0.0
3,5,17831.13186133282,0.36440680384494906
3,6,954589.9426442685,19.50852434308283
3,7,2489129.342329132,50.8692143072425
3,8,3166713.76017383,64.71670160990612
3,9,2703309.8778439607,55.24632536220637
3,10,2274808.1383744823,46.48922847478523
3,11,2176490.7917034444,44.47996118084516
3,12,2264186.2855366208,46.27215445650879
3,13,2246120.8101084298,45.9029584788265
3,14,2396264.498159115,48.97137734900998
