File generated for type: KFZ_
Time of generation:2025-08-04 14:49:39
day,hour,count,n_counts
0,0,214523.82,1.1425350468994508
0,1,0.0,0.0
0,2,0.0,0.0
0,3,0.0,0.0
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,90698.58,0.48305268083522657
0,8,374389.32,1.9939646762063696
0,9,1541300.53,8.208831417087849
0,10,2492104.1999999997,13.27272835727668
0,11,3542372.6,18.866365724218085
0,12,4692068.42,24.989544808124954
0,13,5199803.680000001,27.693698263422394
0,14,5475496.41,29.162013559133552
0,15,5830292.72,31.051627582814472
0,16,5831121.89,31.056043669498166
0,17,5694507.42,30.328446986348514
0,18,5252646.83,27.97513624482494
0,19,4494371.210000001,23.936626810024606
0,20,3837560.0,20.438507922241254
0,21,3240723.4699999997,17.259808919049647
0,22,2247576.4699999997,11.97039511771491
0,23,152611.2,0.8127938638673388
1,0,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,3,0.0,0.0
1,4,0.0,0.0
1,5,46380.0,0.2470158114618532
1,6,3356368.73,17.875725429196628
1,7,8288857.05,44.14572553464969
1,8,10678836.05,56.874544035335084
1,9,8675849.76,46.20681476040372
1,10,7353608.39,39.164673213207024
1,11,7065553.2299999995,37.63051669977076
1,12,7080659.05,37.71096897198069
1,13,7189316.730000001,38.289670244010935
1,14,7748662.89,41.26869882530613
1,15,8463387.36,45.07525865559274
1,16,10233171.45,54.5009734702462
1,17,14342227.429999998,76.38544516584517
1,18,14663750.59,78.09784931140747
1,19,9921401.15,52.84051220150525
1,20,4371740.91,23.283508589578062
1,21,2309939.6100000003,12.30253573074659
1,22,1145393.1400000001,6.100263387665805
1,23,0.0,0.0
2,0,0.0,0.0
2,1,0.0,0.0
2,2,0.0,0.0
2,3,0.0,0.0
2,4,0.0,0.0
2,5,74336.79000000001,0.3959112225812716
2,6,3319218.99,17.677869172799543
2,7,8613270.09,45.87352092758644
2,8,11631676.709999999,61.94928980557543
2,9,10542307.040000001,56.147402504648724
2,10,9355107.26,49.82448061969758
2,11,8914440.9,47.47753024239398
2,12,9059357.41,48.249342862313554
2,13,9216759.83,49.08765434360634
2,14,9884763.67,52.64538419693178
2,15,10581529.04,56.35629543602337
2,16,12551071.760000004,66.84590719086569
2,17,17177068.83,91.48356178478988
2,18,18117386.98,96.49161376526766
2,19,13086982.379999999,69.70012014192916
2,20,6301329.470000001,33.560327993112104
2,21,3509271.0800000005,18.69006993242376
2,22,2084626.24,11.10253648702613
2,23,125483.58,0.6683145394316165
3,0,0.0,0.0
3,1,0.0,0.0
3,2,0.0,0.0
3,3,0.0,0.0
3,4,0.0,0.0
3,5,74336.79000000001,0.3959112225812716
3,6,3277667.52,17.456569688550235
3,7,8550528.3,45.53936365787064
3,8,11559339.600000001,61.5640287032586
3,9,10414056.350000001,55.46435058009305
3,10,9317555.15,49.62448137597713
3,11,9150946.9,48.737140451656536
3,12,9406923.14,50.10044745119414
3,13,9611070.620000001,51.18771902148505
3,14,10318626.250000002,54.95609823879538
3,15,11017391.3,58.6776595981514
3,16,13153504.96,70.05441356752719
3,17,17818651.450000003,94.90057453811293
3,18,18563185.9,98.86589970689373
3,19,13569931.040000003,72.27226233995235
3,20,7016784.77,37.37078015986897
3,21,4285468.49,22.824029248632012
3,22,2775355.97,14.781302436935075
3,23,120716.79000000001,0.6429270340431248
4,0,0.0,0.0
4,1,0.0,0.0
4,2,0.0,0.0
4,3,0.0,0.0
4,4,0.0,0.0
4,5,74336.79000000001,0.3959112225812716
4,6,3022800.05,16.099167900769306
4,7,8047986.630000001,42.862870807322025
4,8,10809123.729999999,57.56844478994228
4,9,9596734.27,51.1113648789958
4,10,8951627.95,47.67558520857816
4,11,9060248.32,48.25408777082131
4,12,9462434.35,50.3960952861096
4,13,9668983.88,51.49615996398831
4,14,10388134.51,55.326293134164096
4,15,11233109.350000001,59.82655500927082
4,16,12987336.389999999,69.16941434031705
4,17,17290957.41,92.09012237135605
4,18,17673966.39,94.12999460059014
4,19,12663922.94,67.44694267603444
4,20,6430750.670000001,34.24961395124852
4,21,4062959.54,21.63896609982272
4,22,2712651.49,14.447343877006364
4,23,223010.37,1.1877336677438146
5,0,0.0,0.0
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.0
5,4,0.0,0.0
5,5,23190.0,0.1235079057309266
5,6,2964422.68,15.788255149118621
5,7,7253353.130000002,38.630722493021196
5,8,8784520.32,46.7855846301841
5,9,7561743.68,40.27318350973997
5,10,7791910.010000001,41.49902919270993
5,11,8410705.0,44.7946770276254
5,12,7733534.680000001,41.1881273059203
5,13,9673825.29,51.52194488895099
5,14,11594208.02,61.74973484945723
5,15,12571835.279999997,66.95649187697184
5,16,14085191.9,75.01649648069042
5,17,18569343.6,98.89869507692907
5,18,18902022.080000002,100.67051147824637
5,19,14109256.679999998,75.14466338796404
5,20,8294731.279999999,44.177011168331525
5,21,6378335.03,33.970452850604005
5,22,5759881.38,30.676622962585572
5,23,1953584.0099999998,10.404617065309424
6,0,127483.26000000001,0.6789646596960417
6,1,0.0,0.0
6,2,0.0,0.0
6,3,0.0,0.0
6,4,0.0,0.0
6,5,0.0,0.0
6,6,46380.0,0.2470158114618532
6,7,483511.11,2.575137757384031
6,8,1562992.27,8.324359721488873
6,9,3264840.9800000004,17.38825666167771
6,10,5256707.22,27.99676152578013
6,11,7055983.67,37.57955006267001
6,12,8695028.85,46.30896091131898
6,13,9702903.73,51.676814109577236
6,14,10307763.41,54.8982437058635
6,15,10931386.93,58.219607867991506
6,16,11247825.68,59.904932891907514
6,17,11095251.790000001,59.092337737827286
6,18,10040131.14,53.472857713034095
6,19,7896360.100000001,42.055321209497635
6,20,6032280.44,32.12739646080347
6,21,6346621.17,33.80154761424161
6,22,6717718.240000001,35.77797805575016
6,23,2760846.66,14.704027124658197
